date,Local Handyman,isPartial
2020-05-24,29,False
2020-05-31,17,False
2020-06-07,22,False
2020-06-14,13,False
2020-06-21,26,False
2020-06-28,24,False
2020-07-05,19,False
2020-07-12,21,False
2020-07-19,32,False
2020-07-26,18,False
2020-08-02,27,False
2020-08-09,17,False
2020-08-16,24,False
2020-08-23,18,False
2020-08-30,29,False
2020-09-06,32,False
2020-09-13,19,False
2020-09-20,25,False
2020-09-27,27,False
2020-10-04,22,False
2020-10-11,23,False
2020-10-18,32,False
2020-10-25,24,False
2020-11-01,21,False
2020-11-08,25,False
2020-11-15,19,False
2020-11-22,11,False
2020-11-29,17,False
2020-12-06,15,False
2020-12-13,18,False
2020-12-20,22,False
2020-12-27,24,False
2021-01-03,21,False
2021-01-10,19,False
2021-01-17,18,False
2021-01-24,24,False
2021-01-31,15,False
2021-02-07,36,False
2021-02-14,25,False
2021-02-21,33,False
2021-02-28,36,False
2021-03-07,27,False
2021-03-14,32,False
2021-03-21,34,False
2021-03-28,25,False
2021-04-04,38,False
2021-04-11,34,False
2021-04-18,31,False
2021-04-25,40,False
2021-05-02,22,False
2021-05-09,39,False
2021-05-16,44,False
2021-05-23,33,False
2021-05-30,30,False
2021-06-06,38,False
2021-06-13,41,False
2021-06-20,41,False
2021-06-27,51,False
2021-07-04,100,False
2021-07-11,84,False
2021-07-18,82,False
2021-07-25,68,False
2021-08-01,31,False
2021-08-08,25,False
2021-08-15,27,False
2021-08-22,40,False
2021-08-29,40,False
2021-09-05,53,False
2021-09-12,59,False
2021-09-19,51,False
2021-09-26,50,False
2021-10-03,74,False
2021-10-10,36,False
2021-10-17,24,False
2021-10-24,18,False
2021-10-31,17,False
2021-11-07,38,False
2021-11-14,25,False
2021-11-21,50,False
2021-11-28,28,False
2021-12-05,24,False
2021-12-12,13,False
2021-12-19,23,False
2021-12-26,13,False
2022-01-02,18,False
2022-01-09,22,False
2022-01-16,18,False
2022-01-23,13,False
2022-01-30,20,False
2022-02-06,27,False
2022-02-13,24,False
2022-02-20,21,False
2022-02-27,34,False
2022-03-06,16,False
2022-03-13,43,False
2022-03-20,66,False
2022-03-27,67,False
2022-04-03,43,False
2022-04-10,22,False
2022-04-17,14,False
2022-04-24,24,False
2022-05-01,23,False
2022-05-08,28,False
2022-05-15,27,False
2022-05-22,16,False
2022-05-29,19,False
2022-06-05,20,False
2022-06-12,20,False
2022-06-19,31,False
2022-06-26,30,False
2022-07-03,21,False
2022-07-10,21,False
2022-07-17,20,False
2022-07-24,20,False
2022-07-31,17,False
2022-08-07,15,False
2022-08-14,18,False
2022-08-21,25,False
2022-08-28,24,False
2022-09-04,20,False
2022-09-11,20,False
2022-09-18,19,False
2022-09-25,19,False
2022-10-02,24,False
2022-10-09,21,False
2022-10-16,21,False
2022-10-23,27,False
2022-10-30,24,False
2022-11-06,19,False
2022-11-13,23,False
2022-11-20,19,False
2022-11-27,17,False
2022-12-04,10,False
2022-12-11,7,False
2022-12-18,18,False
2022-12-25,16,False
2023-01-01,12,False
2023-01-08,18,False
2023-01-15,19,False
2023-01-22,17,False
2023-01-29,16,False
2023-02-05,15,False
2023-02-12,17,False
2023-02-19,12,False
2023-02-26,14,False
2023-03-05,28,False
2023-03-12,12,False
2023-03-19,20,False
2023-03-26,20,False
2023-04-02,20,False
2023-04-09,28,False
2023-04-16,18,False
2023-04-23,21,False
2023-04-30,19,False
2023-05-07,15,False
2023-05-14,20,False
2023-05-21,32,False
2023-05-28,9,False
2023-06-04,14,True
