date,Dropshipping Business,isPartial
2021-01-24,34,False
2021-01-31,39,False
2021-02-07,38,False
2021-02-14,34,False
2021-02-21,38,False
2021-02-28,35,False
2021-03-07,31,False
2021-03-14,35,False
2021-03-21,31,False
2021-03-28,31,False
2021-04-04,35,False
2021-04-11,29,False
2021-04-18,35,False
2021-04-25,37,False
2021-05-02,35,False
2021-05-09,32,False
2021-05-16,33,False
2021-05-23,36,False
2021-05-30,34,False
2021-06-06,27,False
2021-06-13,30,False
2021-06-20,35,False
2021-06-27,32,False
2021-07-04,35,False
2021-07-11,32,False
2021-07-18,39,False
2021-07-25,29,False
2021-08-01,35,False
2021-08-08,42,False
2021-08-15,33,False
2021-08-22,36,False
2021-08-29,38,False
2021-09-05,39,False
2021-09-12,39,False
2021-09-19,38,False
2021-09-26,28,False
2021-10-03,30,False
2021-10-10,25,False
2021-10-17,26,False
2021-10-24,24,False
2021-10-31,25,False
2021-11-07,29,False
2021-11-14,32,False
2021-11-21,30,False
2021-11-28,27,False
2021-12-05,17,False
2021-12-12,27,False
2021-12-19,24,False
2021-12-26,34,False
2022-01-02,39,False
2022-01-09,37,False
2022-01-16,39,False
2022-01-23,42,False
2022-01-30,36,False
2022-02-06,34,False
2022-02-13,40,False
2022-02-20,40,False
2022-02-27,33,False
2022-03-06,41,False
2022-03-13,36,False
2022-03-20,42,False
2022-03-27,38,False
2022-04-03,39,False
2022-04-10,40,False
2022-04-17,44,False
2022-04-24,42,False
2022-05-01,41,False
2022-05-08,37,False
2022-05-15,41,False
2022-05-22,49,False
2022-05-29,42,False
2022-06-05,52,False
2022-06-12,44,False
2022-06-19,42,False
2022-06-26,43,False
2022-07-03,36,False
2022-07-10,42,False
2022-07-17,47,False
2022-07-24,44,False
2022-07-31,44,False
2022-08-07,49,False
2022-08-14,47,False
2022-08-21,49,False
2022-08-28,51,False
2022-09-04,42,False
2022-09-11,38,False
2022-09-18,48,False
2022-09-25,44,False
2022-10-02,49,False
2022-10-09,57,False
2022-10-16,52,False
2022-10-23,52,False
2022-10-30,59,False
2022-11-06,59,False
2022-11-13,50,False
2022-11-20,58,False
2022-11-27,61,False
2022-12-04,52,False
2022-12-11,72,False
2022-12-18,50,False
2022-12-25,70,False
2023-01-01,100,False
2023-01-08,81,False
2023-01-15,80,False
2023-01-22,67,False
2023-01-29,72,False
2023-02-05,63,False
2023-02-12,58,False
2023-02-19,58,False
2023-02-26,52,False
2023-03-05,59,False
2023-03-12,67,False
2023-03-19,67,False
2023-03-26,61,False
2023-04-02,60,False
2023-04-09,62,False
2023-04-16,58,False
2023-04-23,61,False
2023-04-30,60,False
2023-05-07,57,False
2023-05-14,62,False
2023-05-21,55,False
2023-05-28,57,False
2023-06-04,63,True
