date,Dog Walking,isPartial
2020-10-18,58,False
2020-10-25,53,False
2020-11-01,51,False
2020-11-08,57,False
2020-11-15,64,False
2020-11-22,56,False
2020-11-29,57,False
2020-12-06,54,False
2020-12-13,52,False
2020-12-20,51,False
2020-12-27,68,False
2021-01-03,65,False
2021-01-10,59,False
2021-01-17,68,False
2021-01-24,63,False
2021-01-31,54,False
2021-02-07,54,False
2021-02-14,53,False
2021-02-21,56,False
2021-02-28,59,False
2021-03-07,59,False
2021-03-14,52,False
2021-03-21,58,False
2021-03-28,59,False
2021-04-04,56,False
2021-04-11,56,False
2021-04-18,53,False
2021-04-25,56,False
2021-05-02,58,False
2021-05-09,58,False
2021-05-16,59,False
2021-05-23,54,False
2021-05-30,57,False
2021-06-06,57,False
2021-06-13,55,False
2021-06-20,57,False
2021-06-27,53,False
2021-07-04,53,False
2021-07-11,54,False
2021-07-18,59,False
2021-07-25,61,False
2021-08-01,55,False
2021-08-08,54,False
2021-08-15,58,False
2021-08-22,59,False
2021-08-29,60,False
2021-09-05,59,False
2021-09-12,61,False
2021-09-19,57,False
2021-09-26,59,False
2021-10-03,58,False
2021-10-10,61,False
2021-10-17,61,False
2021-10-24,58,False
2021-10-31,55,False
2021-11-07,61,False
2021-11-14,62,False
2021-11-21,53,False
2021-11-28,52,False
2021-12-05,52,False
2021-12-12,54,False
2021-12-19,44,False
2021-12-26,60,False
2022-01-02,60,False
2022-01-09,58,False
2022-01-16,59,False
2022-01-23,58,False
2022-01-30,52,False
2022-02-06,58,False
2022-02-13,56,False
2022-02-20,55,False
2022-02-27,53,False
2022-03-06,50,False
2022-03-13,56,False
2022-03-20,55,False
2022-03-27,53,False
2022-04-03,50,False
2022-04-10,55,False
2022-04-17,54,False
2022-04-24,58,False
2022-05-01,55,False
2022-05-08,52,False
2022-05-15,61,False
2022-05-22,59,False
2022-05-29,61,False
2022-06-05,59,False
2022-06-12,65,False
2022-06-19,66,False
2022-06-26,58,False
2022-07-03,58,False
2022-07-10,65,False
2022-07-17,62,False
2022-07-24,60,False
2022-07-31,59,False
2022-08-07,52,False
2022-08-14,57,False
2022-08-21,61,False
2022-08-28,54,False
2022-09-04,57,False
2022-09-11,55,False
2022-09-18,53,False
2022-09-25,57,False
2022-10-02,56,False
2022-10-09,50,False
2022-10-16,56,False
2022-10-23,56,False
2022-10-30,57,False
2022-11-06,52,False
2022-11-13,50,False
2022-11-20,49,False
2022-11-27,54,False
2022-12-04,54,False
2022-12-11,51,False
2022-12-18,50,False
2022-12-25,56,False
2023-01-01,60,False
2023-01-08,65,False
2023-01-15,61,False
2023-01-22,62,False
2023-01-29,66,False
2023-02-05,60,False
2023-02-12,58,False
2023-02-19,62,False
2023-02-26,55,False
2023-03-05,50,False
2023-03-12,48,False
2023-03-19,51,False
2023-03-26,51,False
2023-04-02,51,False
2023-04-09,54,False
2023-04-16,51,False
2023-04-23,51,False
2023-04-30,51,False
2023-05-07,54,False
2023-05-14,50,False
2023-05-21,56,False
2023-05-28,54,False
2023-06-04,57,True
