date,Create a Podcast,isPartial
2021-04-25,45,False
2021-05-02,45,False
2021-05-09,53,False
2021-05-16,38,False
2021-05-23,54,False
2021-05-30,39,False
2021-06-06,38,False
2021-06-13,54,False
2021-06-20,52,False
2021-06-27,52,False
2021-07-04,22,False
2021-07-11,61,False
2021-07-18,42,False
2021-07-25,38,False
2021-08-01,27,False
2021-08-08,40,False
2021-08-15,36,False
2021-08-22,66,False
2021-08-29,30,False
2021-09-05,68,False
2021-09-12,66,False
2021-09-19,48,False
2021-09-26,39,False
2021-10-03,56,False
2021-10-10,38,False
2021-10-17,46,False
2021-10-24,42,False
2021-10-31,79,False
2021-11-07,45,False
2021-11-14,37,False
2021-11-21,37,False
2021-11-28,45,False
2021-12-05,52,False
2021-12-12,36,False
2021-12-19,35,False
2021-12-26,44,False
2022-01-02,100,False
2022-01-09,57,False
2022-01-16,54,False
2022-01-23,69,False
2022-01-30,61,False
2022-02-06,69,False
2022-02-13,76,False
2022-02-20,53,False
2022-02-27,85,False
2022-03-06,57,False
2022-03-13,37,False
2022-03-20,65,False
2022-03-27,73,False
2022-04-03,86,False
2022-04-10,62,False
2022-04-17,50,False
2022-04-24,55,False
2022-05-01,33,False
2022-05-08,52,False
2022-05-15,70,False
2022-05-22,61,False
2022-05-29,48,False
2022-06-05,69,False
2022-06-12,61,False
2022-06-19,44,False
2022-06-26,54,False
2022-07-03,46,False
2022-07-10,61,False
2022-07-17,65,False
2022-07-24,58,False
2022-07-31,49,False
2022-08-07,54,False
2022-08-14,52,False
2022-08-21,47,False
2022-08-28,47,False
2022-09-04,49,False
2022-09-11,67,False
2022-09-18,64,False
2022-09-25,70,False
2022-10-02,53,False
2022-10-09,74,False
2022-10-16,69,False
2022-10-23,65,False
2022-10-30,50,False
2022-11-06,75,False
2022-11-13,50,False
2022-11-20,49,False
2022-11-27,34,False
2022-12-04,43,False
2022-12-11,55,False
2022-12-18,39,False
2022-12-25,44,False
2023-01-01,64,False
2023-01-08,56,False
2023-01-15,59,False
2023-01-22,67,False
2023-01-29,67,False
2023-02-05,64,False
2023-02-12,62,False
2023-02-19,74,False
2023-02-26,57,False
2023-03-05,57,False
2023-03-12,51,False
2023-03-19,56,False
2023-03-26,55,False
2023-04-02,77,False
2023-04-09,67,False
2023-04-16,69,False
2023-04-23,73,False
2023-04-30,74,False
2023-05-07,61,False
2023-05-14,55,False
2023-05-21,59,False
2023-05-28,54,False
2023-06-04,59,True
