date,Local Selling,isPartial
2021-10-24,56,False
2021-10-31,59,False
2021-11-07,60,False
2021-11-14,66,False
2021-11-21,57,False
2021-11-28,68,False
2021-12-05,51,False
2021-12-12,73,False
2021-12-19,29,False
2021-12-26,30,False
2022-01-02,50,False
2022-01-09,42,False
2022-01-16,62,False
2022-01-23,69,False
2022-01-30,84,False
2022-02-06,70,False
2022-02-13,94,False
2022-02-20,70,False
2022-02-27,85,False
2022-03-06,65,False
2022-03-13,65,False
2022-03-20,71,False
2022-03-27,85,False
2022-04-03,84,False
2022-04-10,69,False
2022-04-17,88,False
2022-04-24,90,False
2022-05-01,88,False
2022-05-08,71,False
2022-05-15,66,False
2022-05-22,65,False
2022-05-29,67,False
2022-06-05,52,False
2022-06-12,61,False
2022-06-19,50,False
2022-06-26,54,False
2022-07-03,55,False
2022-07-10,59,False
2022-07-17,50,False
2022-07-24,44,False
2022-07-31,65,False
2022-08-07,41,False
2022-08-14,43,False
2022-08-21,59,False
2022-08-28,74,False
2022-09-04,51,False
2022-09-11,69,False
2022-09-18,84,False
2022-09-25,70,False
2022-10-02,65,False
2022-10-09,80,False
2022-10-16,80,False
2022-10-23,66,False
2022-10-30,76,False
2022-11-06,68,False
2022-11-13,81,False
2022-11-20,55,False
2022-11-27,63,False
2022-12-04,80,False
2022-12-11,71,False
2022-12-18,47,False
2022-12-25,49,False
2023-01-01,55,False
2023-01-08,58,False
2023-01-15,54,False
2023-01-22,80,False
2023-01-29,66,False
2023-02-05,75,False
2023-02-12,80,False
2023-02-19,77,False
2023-02-26,64,False
2023-03-05,64,False
2023-03-12,68,False
2023-03-19,66,False
2023-03-26,84,False
2023-04-02,62,False
2023-04-09,75,False
2023-04-16,82,False
2023-04-23,95,False
2023-04-30,73,False
2023-05-07,69,False
2023-05-14,61,False
2023-05-21,75,False
2023-05-28,54,False
2023-06-04,52,True
